"","TIMESTAMP","BP_mbar_Avg","RH_Avg","AirTC_Avg","Rain_mm_Tot"
"1",2022-01-01 00:00:00,997.4622,75.76219,26.43777,0
"2",2022-01-01 00:30:00,997.3636,76.44667,26.30777,0
"3",2022-01-01 01:00:00,997.047,75.2389,26.50556,0
"4",2022-01-01 01:30:00,996.6511,76.39777,26.29223,0
"5",2022-01-01 02:00:00,996.4046,75.17001,26.40779,0
"6",2022-01-01 02:30:00,996.0725,76.37004,26.14112,0
"7",2022-01-01 03:00:00,995.7237,77.30333,25.95889,0
"8",2022-01-01 03:30:00,995.7229,76.37886,26.1189,0
"9",2022-01-01 04:00:00,995.9258,75.70558,26.18555,0
"10",2022-01-01 04:30:00,996.2817,74.59,26.3611,0
"11",2022-01-01 05:00:00,996.5547,78.63,25.56001,0
"12",2022-01-01 05:30:00,996.7136,76.20777,26.17221,0
"13",2022-01-01 06:00:00,996.9778,77.76555,25.70554,0
"14",2022-01-01 06:30:00,997.5,76.19667,26.32778,0
"15",2022-01-01 07:00:00,997.7474,73.39779,27.40777,0
"16",2022-01-01 07:30:00,997.9893,71.61445,28.43334,0
"17",2022-01-01 08:00:00,998.195,73.67107,28.0611,0
"18",2022-01-01 08:30:00,998.2623,74.57557,28.28,0
"19",2022-01-01 09:00:00,998.1533,74.46887,28.27111,0
"20",2022-01-01 09:30:00,998.4503,74.22108,28.54333,0
"21",2022-01-01 10:00:00,998.4654,70.49224,28.89,0
"22",2022-01-01 10:30:00,998.2944,68.98223,29.46333,0
"23",2022-01-01 11:00:00,998.1879,73.35891,29.46667,0
"24",2022-01-01 11:30:00,998.0338,73.68557,29.55665,0
"25",2022-01-01 12:00:00,997.8158,74.36777,29.58888,0
"26",2022-01-01 12:30:00,997.4841,73.90221,29.87,0
"27",2022-01-01 13:00:00,997.1701,72.2289,30.13445,0
"28",2022-01-01 13:30:00,996.7496,72.64553,30.10221,0
"29",2022-01-01 14:00:00,996.3477,72.50001,30.45113,0
"30",2022-01-01 14:30:00,995.8611,71.4389,30.71334,0
"31",2022-01-01 15:00:00,995.2859,69.85779,30.63887,0
"32",2022-01-01 15:30:00,994.8692,69.46774,30.66108,0
"33",2022-01-01 16:00:00,995.1787,69.48112,30.41666,0
"34",2022-01-01 16:30:00,995.0687,71.26335,28.94444,0.1034999885
"35",2022-01-01 17:00:00,994.6418,74.62997,27.37111,0
"36",2022-01-01 17:30:00,994.8681,79.63666,26.83666,0
"37",2022-01-01 18:00:00,995.4018,79.50999,27.50776,0
"38",2022-01-01 18:30:00,995.9832,76.15891,27.97222,0
"39",2022-01-01 19:00:00,996.5181,75.24223,27.35222,0
"40",2022-01-01 19:30:00,997.1073,74.74111,27.43444,0
"41",2022-01-01 20:00:00,997.278,76.23446,27.6711,0
"42",2022-01-01 20:30:00,997.1276,76.53999,27.63333,0
"43",2022-01-01 21:00:00,997.0908,77.43886,27.10778,0
"44",2022-01-01 21:30:00,997.6372,74.15555,27.87778,0
"45",2022-01-01 22:00:00,998.0289,76.60998,27.37,0
"46",2022-01-01 22:30:00,997.9998,77.04891,27.28557,0
"47",2022-01-01 23:00:00,997.599,75.81667,27.48002,0
"48",2022-01-01 23:30:00,997.2704,75.30331,27.65332,0
"49",2022-01-02 00:00:00,996.9067,72.88889,28.24109,0
"50",2022-01-02 00:30:00,996.5813,70.96001,28.65001,0
"51",2022-01-02 01:00:00,996.1682,69.8,28.62667,0
"52",2022-01-02 01:30:00,995.9267,72.27335,27.96112,0
